nss_state_name,nss_district_code,district_name,spei_state_name,spei_district_code,nss_state_code,NSS_code,nss_district_code19
Karnataka,25,kalaburagi,KARNATAKA,193,29,294,2925
Karnataka,22,kodagu,KARNATAKA,216,29,292,2922
Karnataka,27,kolar,KARNATAKA,218,29,293,2927
Karnataka,6,koppal,KARNATAKA,221,29,294,2906
Karnataka,19,mandya,KARNATAKA,245,29,293,2919
Karnataka,23,mysore,KARNATAKA,258,29,293,2923
Karnataka,5,raichur,KARNATAKA,296,29,294,2905
Karnataka,30,ramanagara,KARNATAKA,304,29,293,2930
Karnataka,14,shimoga,KARNATAKA,332,29,292,2914
Karnataka,17,tumkur,KARNATAKA,365,29,293,2917
Karnataka,15,udupi,KARNATAKA,368,29,291,2915
Karnataka,9,uttara kannada,KARNATAKA,374,29,291,2909
Karnataka,26,yadgir,KARNATAKA,389,29,294,2926
Kerala,11,alappuzha,KERALA,16,32,322,3211
Kerala,8,ernakulam,KERALA,134,32,322,3208
Kerala,9,idukki,KERALA,170,32,322,3209
Kerala,2,kannur,KERALA,199,32,321,3202
Kerala,1,kasaragod,KERALA,204,32,321,3201
Kerala,13,kollam,KERALA,219,32,322,3213
Kerala,10,kottayam,KERALA,226,32,322,3210
Kerala,4,kozhikode,KERALA,227,32,321,3204
Kerala,5,malappuram,KERALA,242,32,321,3205
Kerala,6,palakkad,KERALA,279,32,321,3206
Kerala,12,pathanamthitta,KERALA,285,32,322,3212
Kerala,14,thiruvananthapuram,KERALA,361,32,322,3214
Kerala,7,thrissur,KERALA,362,32,322,3207
Kerala,3,wayanad,KERALA,381,32,321,3203
Lakshadweep,1,lakshadweep,LAKSHADWEEP,232,31,311,3101
Madhya Pradesh,48,alirajpur,MADHYA PRADESH,18,23,233,2348
Madhya Pradesh,44,anuppur,MADHYA PRADESH,27,23,231,2344
Madhya Pradesh,42,ashoknagar,MADHYA PRADESH,29,23,236,2342
Madhya Pradesh,40,balaghat,MADHYA PRADESH,37,23,234,2340
Madhya Pradesh,24,barwani,MADHYA PRADESH,54,23,235,2324
Madhya Pradesh,30,betul,MADHYA PRADESH,61,23,235,2330
Madhya Pradesh,3,bhind,MADHYA PRADESH,66,23,236,2303
Madhya Pradesh,27,bhopal,MADHYA PRADESH,67,23,232,2327
Madhya Pradesh,50,burhanpur,MADHYA PRADESH,79,23,235,2350
Madhya Pradesh,8,chhatarpur,MADHYA PRADESH,89,23,231,2308
Madhya Pradesh,38,chhindwara,MADHYA PRADESH,90,23,234,2338
Madhya Pradesh,11,damoh,MADHYA PRADESH,105,23,232,2311
Madhya Pradesh,5,datia,MADHYA PRADESH,108,23,236,2305
Madhya Pradesh,20,dewas,MADHYA PRADESH,114,23,233,2320
Madhya Pradesh,21,dhar,MADHYA PRADESH,118,23,233,2321
Madhya Pradesh,36,dindori,MADHYA PRADESH,124,23,234,2336
Madhya Pradesh,49,east nimar,MADHYA PRADESH,133,23,235,2349
Madhya Pradesh,41,guna,MADHYA PRADESH,155,23,236,2341
Madhya Pradesh,4,gwalior,MADHYA PRADESH,157,23,236,2304
Madhya Pradesh,31,harda,MADHYA PRADESH,162,23,235,2331
Madhya Pradesh,32,hoshangabad,MADHYA PRADESH,169,23,235,2332
Madhya Pradesh,22,indore,MADHYA PRADESH,172,23,233,2322
Madhya Pradesh,34,jabalpur,MADHYA PRADESH,173,23,234,2334
Madhya Pradesh,47,jhabua,MADHYA PRADESH,184,23,233,2347
